Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32305914,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 10:34:05 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32309703,12/31/2015 12:00:00 AM,01/04/2016 10:59:02 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10306,2271 HYLAN BOULEVARD,HYLAN BOULEVARD,GREELEY AVENUE,MAPLEWOOD PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,01/14/2016 09:39:59 PM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/04/2016 10:58:55 AM,02 STATEN ISLAND,STATEN ISLAND,955128,148919,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.57537641670923,-74.1048311585326,"(40.57537641670923, -74.1048311585326)"
32308732,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 02:28:37 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32306662,12/31/2015 12:00:00 AM,01/04/2016 11:01:30 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11232,4102 5 AVENUE,5 AVENUE,41 STREET,42 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/14/2016 11:11:21 PM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/04/2016 11:01:24 AM,07 BROOKLYN,BROOKLYN,982813,176110,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.650057815581945,-74.00517859216355,"(40.650057815581945, -74.00517859216355)"
32305511,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 10:58:21 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32307672,12/31/2015 12:00:00 AM,01/04/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10024,137 WEST   83 STREET,WEST   83 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,01/30/2016 11:08:29 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/04/2016 12:00:00 AM,07 MANHATTAN,MANHATTAN,991243,225286,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.785031453301436,-73.97474787267913,"(40.785031453301436, -73.97474787267913)"
32306491,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 11:07:02 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32308229,12/31/2015 12:00:00 AM,01/05/2016 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11201,333 ADAMS STREET,ADAMS STREET,JOHNSON STREET,WILLOUGHBY STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/14/2016 10:57:14 AM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/05/2016 03:31:35 PM,02 BROOKLYN,BROOKLYN,987327,191985,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.693630713827794,-73.98890400721724,"(40.693630713827794, -73.98890400721724)"
32308651,12/31/2015 12:00:00 AM,01/13/2016 06:23:50 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11234,1445 EAST 35TH STREET,EAST 35TH STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,01/30/2016 05:50:53 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/13/2016 06:23:50 PM,Unspecified BROOKLYN,BROOKLYN,1000848,164709,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.618749061577084,-73.94021296964617,"(40.618749061577084, -73.94021296964617)"
32306951,12/31/2015 12:00:00 AM,01/05/2016 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,3 or More,Other (Explain Below),11365,70-63 PARSONS BOULEVARD,PARSONS BOULEVARD,JEWEL AVENUE,71 AVENUE,,,ADDRESS,Fresh Meadows,,N/A,Closed,01/14/2016 09:51:16 AM,"Callers should contact the DOHMH Foodborne Illness unit directly at (646) 632-6103 weekdays from 9AM to 5PM.  DOHMH will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection. Initial status will be available 14 days after the date of your complaint. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center.  Please note your Service Request number for future reference.",01/05/2016 03:21:21 PM,08 QUEENS,QUEENS,1036666,205462,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.730467098833294,-73.81087763555416,"(40.730467098833294, -73.81087763555416)"
32308859,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 11:03:42 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
32306778,12/31/2015 12:00:00 AM,12/31/2015 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11212,1719 PITKIN AVENUE,PITKIN AVENUE,THATFORD AVENUE,OSBORN STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,01/14/2016 12:04:38 PM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/05/2016 03:32:04 PM,16 BROOKLYN,BROOKLYN,1009325,183338,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.669861689985844,-73.90960906249386,"(40.669861689985844, -73.90960906249386)"
32308516,12/31/2015 12:00:00 AM,01/14/2016 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10451,335 EAST 148TH STREET,EAST 148TH STREET,,,,,LATLONG,BRONX,,N/A,Closed,01/30/2016 02:36:20 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/14/2016 12:00:00 AM,Unspecified BRONX,BRONX,1006270,236665,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81623901998593,-73.92044720977557,"(40.81623901998593, -73.92044720977557)"
