Date/Time,Temp,Dew Point Temp,Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
2012-03-01 00:00:00,-5.5,-9.7,72,24,4.0,100.97,Snow
2012-03-01 01:00:00,-5.7,-8.7,79,26,2.4,100.87,Snow
2012-03-01 02:00:00,-5.4,-8.3,80,28,4.8,100.8,Snow
2012-03-01 03:00:00,-4.7,-7.7,79,28,4.0,100.69,Snow
2012-03-01 04:00:00,-5.4,-7.8,83,35,1.6,100.62,Snow
2012-03-01 05:00:00,-5.3,-7.9,82,33,2.4,100.58,Snow
2012-03-01 06:00:00,-5.2,-7.8,82,33,4.0,100.57,Snow
2012-03-01 07:00:00,-4.9,-7.4,83,30,1.6,100.59,Snow
2012-03-01 08:00:00,-5.0,-7.5,83,32,1.2,100.59,Snow
2012-03-01 09:00:00,-4.9,-7.5,82,32,1.6,100.6,Snow
2012-03-01 10:00:00,-4.7,-7.3,82,32,1.2,100.62,Snow
2012-03-01 11:00:00,-4.4,-6.8,83,28,1.0,100.66,Snow
2012-03-01 12:00:00,-4.3,-6.8,83,30,1.2,100.66,Snow
2012-03-01 13:00:00,-4.3,-6.9,82,28,1.2,100.65,Snow
2012-03-01 14:00:00,-3.9,-6.6,81,28,1.2,100.67,Snow
2012-03-01 15:00:00,-3.3,-6.2,80,24,1.6,100.71,Snow
2012-03-01 16:00:00,-2.7,-5.7,80,19,2.4,100.74,Snow
2012-03-01 17:00:00,-2.9,-5.9,80,20,4.0,100.8,Snow
2012-03-01 18:00:00,-3.0,-6.0,80,19,4.0,100.87,Snow
2012-03-01 19:00:00,-3.6,-6.4,81,17,3.2,100.93,Snow
2012-03-01 20:00:00,-3.7,-6.4,81,20,4.8,100.95,Snow
2012-03-01 21:00:00,-3.9,-6.7,81,22,6.4,100.98,Snow
2012-03-01 22:00:00,-4.3,-6.9,82,22,2.4,101.0,Snow
2012-03-01 23:00:00,-4.3,-7.1,81,22,4.8,101.04,Snow
2012-03-02 00:00:00,-4.8,-7.3,83,22,3.2,101.04,Snow
2012-03-02 01:00:00,-5.3,-7.9,82,20,4.8,101.09,Snow
2012-03-02 02:00:00,-5.2,-7.8,82,19,6.4,101.11,Snow
