mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,USA,Europe,Japan
12.0,1.4741390271605472,1.8103431605480904,2.002160244606139,2.408445685451418,-1.4535628979242214,71,1,1.0,0.0,0.0
32.9,-0.8636370058112295,-0.733693975812833,-0.12238101947134218,-0.44865723835175236,-0.29567400276041517,81,3,0.0,0.0,1.0
37.0,-0.8636370058112295,-1.0035160963359613,-0.9721975251023345,-1.169037890079902,0.8973024346810815,82,3,0.0,0.0,1.0
40.8,-0.8636370058112295,-1.061335122162346,-1.05186782250524,-1.0652542368648297,1.2481778574579925,80,3,0.0,0.0,1.0
20.0,0.30525101067465893,0.02758986423456453,-0.25516484847618476,0.145962045362839,0.3008142159603332,74,1,1.0,0.0,0.0
23.8,-0.8636370058112295,-0.42532583807211505,-0.5207325064858699,-0.15562104103860672,0.6867771810149358,78,1,1.0,0.0,0.0
14.0,1.4741390271605472,2.504171470464706,3.1972147056497215,0.12642629887529597,-1.9798760320895878,70,1,1.0,0.0,0.0
36.0,-0.8636370058112295,-0.8493320274656023,-0.786300164495555,-0.9492607420950429,-0.4009366295934887,82,3,0.0,0.0,1.0
18.0,0.30525101067465893,0.5286880880632313,0.010402809533500375,0.5818533888661431,0.12537650457187774,75,1,1.0,0.0,0.0
24.5,-0.8636370058112295,-0.9360605662051792,-1.1846516515100827,-0.9993210924693718,2.265716583511035,76,1,1.0,0.0,0.0
34.4,-0.8636370058112295,-0.9360605662051792,-1.05186782250524,-1.1446182069704733,0.19555158912725967,81,1,1.0,0.0,0.0
27.2,-0.8636370058112295,-0.733693975812833,-0.2020513168742477,-0.833267247325256,-0.33076154503810673,78,3,0.0,0.0,1.0
22.0,-0.8636370058112295,-0.8396955231612049,-0.28172161427715325,-0.7368094990430122,0.3008142159603332,73,3,0.0,0.0,1.0
26.0,-0.8636370058112295,-0.8396955231612049,-0.30827838007812175,-0.7221576891773549,-0.05006120681657774,74,3,0.0,0.0,1.0
14.0,1.4741390271605472,2.3596239058987445,2.9316470476400367,1.6233528734832816,-2.5061891662549542,70,1,1.0,0.0,0.0
19.0,0.30525101067465893,0.3552310105840774,-0.12238101947134218,-0.425458539397795,-0.9272497637588552,71,1,1.0,0.0,0.0
28.0,-0.8636370058112295,-0.8011495059436151,-0.4410622090829643,-0.46086707990646675,1.3885280265687576,82,1,1.0,0.0,0.0
28.0,-0.8636370058112295,-0.9456970705095766,-0.33483514587909025,-0.8479190571909133,0.4762519273487887,72,3,0.0,0.0,1.0
22.3,-0.8636370058112295,-0.5313273854204869,-0.4410622090829643,-0.1128865955971063,0.5815145541818622,79,1,1.0,0.0,0.0
25.5,-0.8636370058112295,-0.7047844628996407,-0.22860808267521623,-0.833267247325256,-0.05006120681657774,77,1,1.0,0.0,0.0
27.0,-0.8636370058112295,-0.9456970705095766,-1.1846516515100827,-1.402245863774947,1.1780027729026106,71,2,0.0,1.0,0.0
26.4,-0.8636370058112295,-0.5313273854204869,-0.4410622090829643,-0.1373062787065351,0.8622148924033912,80,1,1.0,0.0,0.0
13.0,1.4741390271605472,1.492338518502975,1.6038087575916111,1.576955475575367,-1.2781251865357661,72,1,1.0,0.0,0.0
23.0,-0.8636370058112295,-0.7722399930304228,-0.25516484847618476,-0.35219949006950857,-0.2254989182050332,75,2,0.0,1.0,0.0
43.1,-0.8636370058112295,-1.0131526006403588,-1.5033328411217048,-1.2178772562987596,2.055191329844888,78,2,0.0,1.0,0.0
25.0,-0.8636370058112295,-0.82042251455241,-0.46761897488393284,-0.37906114148988024,0.6516896387372442,70,2,0.0,1.0,0.0
38.1,-0.8636370058112295,-1.0227891049447562,-1.1846516515100827,-1.2386339869417742,1.1078276883472287,80,3,0.0,0.0,1.0
19.0,-0.8636370058112295,-0.7240574715084356,-0.4410622090829643,0.35108738348204094,2.195541498955652,76,2,0.0,1.0,0.0
15.0,1.4741390271605472,1.8103431605480904,1.7365925865964535,0.7088357410351729,-1.9798760320895878,70,1,1.0,0.0,0.0
35.0,-0.8636370058112295,-1.1866096781195126,-0.945640759301366,-1.6720833621341353,0.8271273501256996,71,3,0.0,0.0,1.0
20.5,0.30525101067465893,0.2877754804532953,-0.12238101947134218,0.5464448483574714,0.5464270119041706,78,1,1.0,0.0,0.0
28.1,-0.8636370058112295,-0.5216908811160894,-0.6535163354907124,0.30224801726318334,1.6692283647902855,81,2,0.0,1.0,0.0
46.6,-0.8636370058112295,-1.0516986178579484,-1.05186782250524,-1.0652542368648297,0.792039807848008,80,3,0.0,0.0,1.0
25.0,-0.8636370058112295,-0.5313273854204869,-0.786300164495555,-0.5377890817011675,0.4762519273487887,74,1,1.0,0.0,0.0
26.0,-0.8636370058112295,-0.9456970705095766,-1.5564463727236417,-1.26061170174026,1.8797536184564325,73,2,0.0,1.0,0.0
28.0,-0.8636370058112295,-0.9456970705095766,-0.786300164495555,-1.0103099498686148,0.26572667368264163,76,3,0.0,0.0,1.0
15.0,1.4741390271605472,1.0490593205006928,1.2054572705770834,1.1105395281852768,-1.1026874751473106,72,1,1.0,0.0,0.0
44.6,-0.8636370058112295,-1.0035160963359613,-0.998754290903303,-1.3827101172874041,-0.6465494255373261,80,3,0.0,0.0,1.0
38.0,0.30525101067465893,0.6443261397160005,-0.5207325064858699,0.039736423836823714,0.4762519273487887,82,1,1.0,0.0,0.0
26.0,-0.8636370058112295,-0.37714331655012784,-0.33483514587909025,-0.4852867630158956,-0.4009366295934887,82,1,1.0,0.0,0.0
14.0,1.4741390271605472,1.5019750228073725,1.285127567979989,1.4304373769187941,-0.7518120523703996,71,1,1.0,0.0,0.0
17.5,0.30525101067465893,0.5286880880632313,0.14318663853834293,0.656333422349901,0.26572667368264163,77,1,1.0,0.0,0.0
