player_hand,dealer_card,has_usable_ace,action,value
21,10,True,STICK,0.857
21,10,True,HIT,0.000
16,10,False,STICK,-0.747
16,10,False,HIT,-0.632
14,7,False,STICK,-0.512
14,7,False,HIT,-0.212
20,7,False,STICK,0.789
20,7,False,HIT,0.000
15,7,False,STICK,-0.519
15,7,False,HIT,-0.370
11,9,False,STICK,-0.089
11,9,False,HIT,0.240
13,2,False,STICK,-0.440
13,2,False,HIT,-0.302
13,1,False,STICK,-0.731
13,1,False,HIT,-0.554
12,4,False,STICK,-0.416
12,4,False,HIT,-0.267
10,9,False,STICK,-0.132
10,9,False,HIT,0.110
13,8,False,STICK,-0.516
13,8,False,HIT,-0.461
13,9,False,STICK,-0.542
13,9,False,HIT,-0.450
12,2,False,STICK,-0.369
12,2,False,HIT,-0.066
19,3,True,STICK,0.347
19,3,True,HIT,-0.010
14,5,False,STICK,-0.112
14,5,False,HIT,-0.360
10,8,False,STICK,-0.030
10,8,False,HIT,0.205
20,8,False,STICK,0.762
20,8,False,HIT,0.000
10,2,False,STICK,-0.020
10,2,False,HIT,0.208
19,8,True,STICK,0.602
19,8,True,HIT,0.000
20,9,False,STICK,0.779
20,9,False,HIT,0.000
20,3,False,STICK,0.680
20,3,False,HIT,-0.020
18,10,False,STICK,-0.308
18,10,False,HIT,-0.482
13,1,True,STICK,-0.385
13,1,True,HIT,-0.239
12,6,True,STICK,-0.010
12,6,True,HIT,0.062
15,1,False,STICK,-0.799
15,1,False,HIT,-0.654
19,4,False,STICK,0.347
19,4,False,HIT,-0.010
9,5,False,STICK,-0.055
9,5,False,HIT,0.148
17,6,False,STICK,0.119
17,6,False,HIT,-0.161
19,6,False,STICK,0.487
19,6,False,HIT,0.000
18,8,False,STICK,0.097
18,8,False,HIT,-0.049
18,5,False,STICK,0.184
18,5,False,HIT,-0.010
12,3,True,STICK,-0.115
12,3,True,HIT,0.047
15,7,True,STICK,-0.118
15,7,True,HIT,0.016
20,6,False,STICK,0.695
20,6,False,HIT,0.000
14,10,False,STICK,-0.713
14,10,False,HIT,-0.347
10,4,False,STICK,-0.068
10,4,False,HIT,0.066
16,2,False,STICK,-0.189
16,2,False,HIT,-0.504
18,4,False,STICK,0.176
18,4,False,HIT,-0.077
11,6,False,STICK,-0.010
11,6,False,HIT,0.268
17,10,False,STICK,-0.470
17,10,False,HIT,-0.666
15,4,False,STICK,-0.230
15,4,False,HIT,-0.353
7,5,False,STICK,-0.124
7,5,False,HIT,0.118
12,8,True,STICK,-0.077
12,8,True,HIT,0.041
14,4,False,STICK,-0.178
14,4,False,HIT,-0.387
12,8,False,STICK,-0.477
12,8,False,HIT,-0.253
15,5,False,STICK,-0.246
15,5,False,HIT,-0.372
14,2,False,STICK,-0.217
14,2,False,HIT,-0.461
12,1,False,STICK,-0.662
12,1,False,HIT,-0.548
11,7,False,STICK,-0.010
11,7,False,HIT,0.325
17,4,False,STICK,-0.043
17,4,False,HIT,-0.270
20,1,False,STICK,0.194
20,1,False,HIT,-0.087
21,8,True,STICK,0.926
21,8,True,HIT,0.000
21,1,True,STICK,0.615
21,1,True,HIT,0.000
8,4,False,STICK,-0.104
8,4,False,HIT,-0.104
20,1,True,STICK,0.180
20,1,True,HIT,-0.010
19,2,True,STICK,-0.010
19,2,True,HIT,0.080
14,6,False,STICK,-0.180
14,6,False,HIT,-0.322
15,3,False,STICK,-0.296
15,3,False,HIT,-0.466
12,10,True,STICK,-0.243
12,10,True,HIT,-0.116
18,2,False,STICK,0.133
18,2,False,HIT,-0.075
10,7,False,STICK,-0.000
10,7,False,HIT,0.256
11,8,False,STICK,-0.029
11,8,False,HIT,0.136
6,7,False,STICK,-0.322
6,7,False,HIT,-0.224
9,10,False,STICK,-0.394
9,10,False,HIT,-0.072
19,9,False,STICK,0.282
19,9,False,HIT,-0.010
5,1,False,STICK,-0.587
5,1,False,HIT,-0.469
12,10,False,STICK,-0.622
12,10,False,HIT,-0.361
10,10,False,STICK,-0.222
10,10,False,HIT,-0.034
19,10,False,STICK,-0.120
19,10,False,HIT,-0.239
20,10,False,STICK,0.491
20,10,False,HIT,-0.010
9,1,False,STICK,-0.485
9,1,False,HIT,-0.305
21,5,True,STICK,0.860
21,5,True,HIT,0.000
13,10,False,STICK,-0.666
13,10,False,HIT,-0.463
12,9,False,STICK,-0.548
12,9,False,HIT,-0.430
11,10,False,STICK,-0.148
11,10,False,HIT,0.100
16,3,False,STICK,-0.236
16,3,False,HIT,-0.477
8,9,False,STICK,-0.359
8,9,False,HIT,-0.134
12,7,False,STICK,-0.437
12,7,False,HIT,-0.141
18,9,False,STICK,-0.101
18,9,False,HIT,-0.327
13,5,False,STICK,-0.341
13,5,False,HIT,-0.404
21,10,False,STICK,0.873
21,10,False,HIT,0.000
13,6,False,STICK,-0.237
13,6,False,HIT,-0.338
19,2,False,STICK,0.381
19,2,False,HIT,-0.020
17,7,False,STICK,-0.160
17,7,False,HIT,-0.281
17,5,False,STICK,0.010
17,5,False,HIT,-0.211
21,3,True,STICK,0.907
21,3,True,HIT,0.000
15,2,False,STICK,-0.291
15,2,False,HIT,-0.568
9,8,False,STICK,-0.110
9,8,False,HIT,-0.073
16,8,False,STICK,-0.633
16,8,False,HIT,-0.397
6,10,False,STICK,-0.532
6,10,False,HIT,-0.384
8,10,False,STICK,-0.484
8,10,False,HIT,-0.195
8,2,False,STICK,-0.186
8,2,False,HIT,-0.191
18,1,False,STICK,-0.341
18,1,False,HIT,-0.527
13,3,False,STICK,-0.398
13,3,False,HIT,-0.298
16,5,False,STICK,-0.191
16,5,False,HIT,-0.384
19,3,False,STICK,0.447
19,3,False,HIT,-0.020
15,9,False,STICK,-0.613
15,9,False,HIT,-0.544
5,8,False,STICK,-0.331
5,8,False,HIT,-0.252
18,1,True,STICK,-0.447
18,1,True,HIT,-0.487
19,5,True,STICK,0.381
19,5,True,HIT,-0.021
21,7,True,STICK,0.906
21,7,True,HIT,0.000
7,3,False,STICK,-0.263
7,3,False,HIT,-0.090
11,5,False,STICK,-0.020
11,5,False,HIT,0.254
15,10,False,STICK,-0.526
15,10,False,HIT,-0.694
16,7,False,STICK,-0.551
16,7,False,HIT,-0.477
5,2,False,STICK,-0.285
5,2,False,HIT,-0.199
14,3,False,STICK,-0.232
14,3,False,HIT,-0.431
11,1,False,STICK,-0.230
11,1,False,HIT,-0.200
16,1,True,STICK,-0.484
16,1,True,HIT,-0.277
16,9,False,STICK,-0.675
16,9,False,HIT,-0.488
20,4,True,STICK,0.696
20,4,True,HIT,0.000
17,10,True,STICK,-0.478
17,10,True,HIT,-0.300
7,6,False,STICK,-0.127
7,6,False,HIT,-0.074
17,9,False,STICK,-0.460
17,9,False,HIT,-0.587
12,6,False,STICK,-0.168
12,6,False,HIT,-0.326
16,4,False,STICK,-0.231
16,4,False,HIT,-0.398
13,10,True,STICK,-0.341
13,10,True,HIT,-0.225
11,2,False,STICK,-0.010
11,2,False,HIT,0.298
15,3,True,STICK,-0.147
15,3,True,HIT,0.104
7,10,False,STICK,-0.580
7,10,False,HIT,-0.337
19,1,True,STICK,-0.141
19,1,True,HIT,-0.212
14,9,False,STICK,-0.603
14,9,False,HIT,-0.436
14,2,True,STICK,-0.169
14,2,True,HIT,-0.070
9,7,False,STICK,-0.010
9,7,False,HIT,0.134
17,2,False,STICK,-0.169
17,2,False,HIT,-0.374
9,4,False,STICK,-0.077
9,4,False,HIT,0.077
21,1,False,STICK,0.636
21,1,False,HIT,0.000
14,8,False,STICK,-0.530
14,8,False,HIT,-0.430
4,6,False,STICK,-0.040
4,6,False,HIT,0.063
16,6,True,STICK,-0.073
16,6,True,HIT,0.052
4,1,False,STICK,-0.358
4,1,False,HIT,-0.333
17,8,False,STICK,-0.398
17,8,False,HIT,-0.538
16,10,True,STICK,-0.424
16,10,True,HIT,-0.237
12,5,True,STICK,-0.010
12,5,True,HIT,0.119
12,5,False,STICK,-0.370
12,5,False,HIT,-0.237
19,1,False,STICK,-0.127
19,1,False,HIT,-0.299
20,5,True,STICK,0.724
20,5,True,HIT,-0.010
4,10,False,STICK,-0.517
4,10,False,HIT,-0.334
