name,batch,epochs,lr,n_train,n_val,act,val_loss,test_loss,val_rmse,test_rmse
lucky-band-7282,32,5,0.001,10000,100,tanh,0.10347,0.00251,0.32167,0.05015
wandering-moon-0085,32,5,0.005,10000,100,tanh,0.09219,0.00919,0.30363,0.09586
lucky-morning-7329,32,10,0.005,10000,100,tanh,0.00296,0.00503,0.05445,0.07092
plain-glade-6858,32,20,0.005,10000,100,tanh,0.11952,0.00157,0.34572,0.03964
ancient-bar-7792,32,20,0.005,10000,100,tanh,0.02213,0.01318,0.14877,0.11482
hidden-wood-6608,32,20,0.005,20000,200,tanh,0.07858,0.00380,0.28032,0.06163
steep-hall-5329,32,20,0.001,20000,200,tanh,0.04718,0.00934,0.21721,0.09666
fragrant-firefly-4340,32,10,0.005,10000,1000,sigmoid,0.04224322363734245,0.0040634432807564735,0.20553156733512878,0.06374514102935791
odd-forest-2350,32,10,0.005,10000,100,sigmoid,0.011547653004527092,0.01098630204796791,0.10746000707149506,0.10481556504964828
patient-term-3478,32,10,0.005,10000,100,sigmoid,0.1026703491806984,0.006769918370991945,0.32042214274406433,0.0822795107960701
curly-sky-5314,32,10,0.005,10000,100,sigmoid,0.08570056408643723,0.012837368063628674,0.29274657368659973,0.11330211162567139
fancy-voice-2023,32,10,0.005,10000,100,sigmoid,0.13100679218769073,0.01756131649017334,0.3619486093521118,0.13251911103725433
purple-bush-0945,32,10,0.005,10000,100,tanh,0.020892953500151634,0.009296356700360775,0.14454394578933716,0.0964176133275032
plain-block-0056,32,10,0.005,10000,100,tanh,0.007935833185911179,0.011881429702043533,0.08908329159021378,0.10900197178125381
icy-wind-0780,32,10,0.005,10000,100,tanh,0.13414786756038666,0.0014696429716423154,0.3662620186805725,0.03833592310547829
shiny-heart-0867,32,2,0.001,100,10,tanh,0.13409921526908875,0.19213362038135529,0.36619558930397034,0.4383305013179779
rapid-haze-0201,32,2,0.001,100,10,tanh,0.2739819884300232,0.21922048926353455,0.5234329104423523,0.4682098627090454
black-hill-2931,32,2,0.001,100,10,tanh,0.046113938093185425,0.13867002725601196,0.2147415578365326,0.372384250164032
